q1,q2,cost,valid_flag,dist_proj_to_goal_proj,o4_proj_x,o4_proj_y,o4_proj_z
-1.570000,-0.017444,inf,0,inf,0.000000,0.000000,0.000000
-1.570000,0.000000,1.173754,1,0.224742,0.582000,0.000000,0.112463
-1.570000,0.017444,1.117908,1,0.220591,0.581957,0.000000,0.116912
-1.570000,0.034889,1.065207,1,0.216423,0.581838,0.000000,0.121358
-1.570000,0.052333,1.015650,1,0.212240,0.581640,0.000000,0.125802
-1.570000,0.069778,0.969239,1,0.208041,0.581365,0.000000,0.130242
-1.570000,0.087222,0.925973,1,0.203827,0.581013,0.000000,0.134676
-1.570000,0.104667,0.885855,1,0.199598,0.580583,0.000000,0.139104
-1.570000,0.122111,0.848883,1,0.195355,0.580076,0.000000,0.143523
-1.570000,0.139556,0.815058,1,0.191098,0.579492,0.000000,0.147933
-1.570000,0.157000,0.784382,1,0.186827,0.578832,0.000000,0.152332
-1.570000,0.174444,0.756854,1,0.182542,0.578094,0.000000,0.156718
-1.570000,0.191889,0.732475,1,0.178245,0.577281,0.000000,0.161092
-1.570000,0.209333,0.711245,1,0.173935,0.576391,0.000000,0.165450
-1.570000,0.226778,0.693165,1,0.169613,0.575425,0.000000,0.169792
-1.570000,0.244222,0.678236,1,0.165280,0.574384,0.000000,0.174117
-1.570000,0.261667,0.666457,1,0.160935,0.573267,0.000000,0.178423
-1.570000,0.279111,0.657830,1,0.156579,0.572076,0.000000,0.182708
-1.570000,0.296556,0.652354,1,0.152213,0.570809,0.000000,0.186973
-1.570000,0.314000,0.650031,1,0.147837,0.569469,0.000000,0.191214
-1.570000,0.331444,0.649316,1,0.143451,0.568055,0.000000,0.195432
-1.570000,0.348889,0.648668,1,0.139057,0.566567,0.000000,0.199624
-1.570000,0.366333,0.648087,1,0.134654,0.565007,0.000000,0.203790
-1.570000,0.383778,0.647573,1,0.130243,0.563374,0.000000,0.207927
-1.570000,0.401222,0.647126,1,0.125826,0.561670,0.000000,0.212036
-1.570000,0.418667,0.646747,1,0.121401,0.559893,0.000000,0.216114
-1.570000,0.436111,0.646437,1,0.116970,0.558046,0.000000,0.220161
-1.570000,0.453556,0.646195,1,0.112535,0.556129,0.000000,0.224175
-1.570000,0.471000,0.646021,1,0.108095,0.554142,0.000000,0.228155
-1.570000,0.488444,0.645917,1,0.103651,0.552086,0.000000,0.232099
-1.570000,0.505889,0.645883,1,0.099204,0.549961,0.000000,0.236007
-1.570000,0.523333,0.645918,1,0.094756,0.547769,0.000000,0.239878
-1.570000,0.540778,0.646023,1,0.090308,0.545509,0.000000,0.243709
-1.570000,0.558222,0.646198,1,0.085861,0.543183,0.000000,0.247501
-1.570000,0.575667,0.646443,1,0.081417,0.540791,0.000000,0.251251
