name,x,y,z
p_d,0.173988,0,0.689652
p_d_proj_goal_axis,0.165225,0,0.589534
o4_pre,0.164516,0,0.769729
o4_proj_pre,0.164516,0,0.669229
joint3_axis_origin,0.165225,0.0495,0.589534
