q1,q2,cost,valid_flag,projection_error,dist_proj_to_goal_proj,stage2_pos_error,stage2_pose_error,o4_proj_x,o4_proj_y,o4_proj_z
-1.390000,1.044000,0.861804,1,0.134356,0.134356,0.127597,0.025926,0.264399,0.001151,0.302898
-1.390000,1.087500,0.845833,1,0.126428,0.126428,0.120835,0.024731,0.256772,0.001151,0.305462
-1.390000,1.131000,0.830691,1,0.118591,0.118591,0.113888,0.024619,0.249040,0.001151,0.307691
-1.390000,1.174500,0.814695,1,0.110879,0.110879,0.105926,0.022078,0.241218,0.001151,0.309583
-1.390000,1.218000,0.802391,1,0.103337,0.103337,0.099021,0.019064,0.233322,0.001151,0.311132
-1.390000,1.261500,0.793808,1,0.096020,0.096020,0.093421,0.017155,0.225366,0.001151,0.312336
-1.390000,1.305000,0.785252,1,0.089001,0.089001,0.087278,0.016352,0.217365,0.001151,0.313194
-1.390000,1.348500,0.776928,1,0.082370,0.082370,0.080595,0.016660,0.209334,0.001151,0.313702
-1.390000,1.392000,0.772538,1,0.076242,0.076242,0.075708,0.016392,0.201289,0.001151,0.313861
-1.390000,1.435500,0.778501,1,0.070761,0.070761,0.072017,0.013842,0.193244,0.001151,0.313670
-1.390000,1.479000,0.797838,1,0.066101,0.066101,0.066182,0.012418,0.185215,0.001151,0.313129
-1.390000,1.522500,0.836888,1,0.062454,0.062454,0.062825,0.012122,0.177218,0.001151,0.312240
-1.390000,1.566000,0.893827,1,0.060013,0.060013,0.060863,0.012954,0.169267,0.001151,0.311004
-1.390000,1.609500,0.964431,1,0.058933,0.058933,0.056830,0.014699,0.161376,0.001151,0.309423
-1.390000,1.653000,1.054842,1,0.059291,0.059291,0.056010,0.012696,0.153563,0.001151,0.307500
-1.390000,1.696500,1.161108,1,0.061060,0.061060,0.055061,0.011829,0.145840,0.001151,0.305240
-1.390000,1.740000,1.283074,1,0.064120,0.064120,0.053831,0.012099,0.138223,0.001151,0.302646
-1.355250,-1.740000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.355250,-1.696500,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.355250,-1.653000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.355250,-1.609500,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.355250,-1.566000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.355250,-1.522500,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.355250,-1.479000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.355250,-1.435500,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.355250,-1.392000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.355250,-1.348500,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.355250,-1.305000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.355250,-1.261500,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.355250,-1.218000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.355250,-1.174500,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.355250,-1.131000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.355250,-1.087500,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.355250,-1.044000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.355250,-1.000500,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.355250,-0.957000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.355250,-0.913500,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.355250,-0.870000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.355250,-0.826500,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.355250,-0.783000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.355250,-0.739500,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
