q1,q2,cost,valid_flag,dist_proj_to_goal_proj,o4_proj_x,o4_proj_y,o4_proj_z
-1.570000,-1.570000,inf,0,inf,0.000000,0.000000,0.000000
-1.570000,-1.561278,inf,0,inf,0.000000,0.000000,0.000000
-1.570000,-1.552556,inf,0,inf,0.000000,0.000000,0.000000
-1.570000,-1.543833,inf,0,inf,0.000000,0.000000,0.000000
-1.570000,-1.535111,inf,0,inf,0.000000,0.000000,0.000000
-1.570000,-1.526389,inf,0,inf,0.000000,0.000000,0.000000
-1.570000,-1.517667,inf,0,inf,0.000000,0.000000,0.000000
-1.570000,-1.508944,inf,0,inf,0.000000,0.000000,0.000000
-1.570000,-1.500222,inf,0,inf,0.000000,0.000000,0.000000
-1.570000,-1.491500,inf,0,inf,0.000000,0.000000,0.000000
-1.570000,-1.482778,inf,0,inf,0.000000,0.000000,0.000000
-1.570000,-1.474056,inf,0,inf,0.000000,0.000000,0.000000
-1.570000,-1.465333,inf,0,inf,0.000000,0.000000,0.000000
-1.570000,-1.456611,inf,0,inf,0.000000,0.000000,0.000000
-1.570000,-1.447889,inf,0,inf,0.000000,0.000000,0.000000
-1.570000,-1.439167,inf,0,inf,0.000000,0.000000,0.000000
-1.570000,-1.430444,inf,0,inf,0.000000,0.000000,0.000000
-1.570000,-1.421722,inf,0,inf,0.000000,0.000000,0.000000
-1.570000,-1.413000,inf,0,inf,0.000000,0.000000,0.000000
-1.570000,-1.404278,inf,0,inf,0.000000,0.000000,0.000000
-1.570000,-1.395556,inf,0,inf,0.000000,0.000000,0.000000
-1.570000,-1.386833,inf,0,inf,0.000000,0.000000,0.000000
-1.570000,-1.378111,inf,0,inf,0.000000,0.000000,0.000000
-1.570000,-1.369389,inf,0,inf,0.000000,0.000000,0.000000
-1.570000,-1.360667,inf,0,inf,0.000000,0.000000,0.000000
-1.570000,-1.351944,inf,0,inf,0.000000,0.000000,0.000000
-1.570000,-1.343222,inf,0,inf,0.000000,0.000000,0.000000
-1.570000,-1.334500,inf,0,inf,0.000000,0.000000,0.000000
-1.570000,-1.325778,inf,0,inf,0.000000,0.000000,0.000000
-1.570000,-1.317056,inf,0,inf,0.000000,0.000000,0.000000
-1.570000,-1.308333,inf,0,inf,0.000000,0.000000,0.000000
